header,class,mechanism,group
aac_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
aac2-ib_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME
aac2prime-Ia_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME
aac2prime-Ib_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME
aac2prime-Ic_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME
aac2prime-Id_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME
aac2prime-Ie_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC2-PRIME
aac3prime-Ic_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Id_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-If_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Ig_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Ih_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Ii_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Iib_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-III_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-IIIa_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-IIIb_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Ik_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-Iva_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac3prime-via_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC3
aac6prime_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
aac6prime-31_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
aac6prime-32_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
aac6prime-Ia_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
aac6prime-Iae_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
aac6prime-Iai_NT,Aminoglycosides,Aminoglycoside_N-acetyltransferases,AAC6-PRIME
